Timestamp,Temp.,R. Humidity,B.Pressure,Lux
2021-09-25 15:30:00,27.75,64.34,1016.45,1165.54
2021-09-25 16:00:00,27.35,64.06,1016.66,888.67
2021-09-25 16:30:00,27.13,65.15,1016.83,1123.25
2021-09-25 17:00:00,27.17,64.68,1016.85,986.92
2021-09-25 17:30:00,27.15,66.11,1017.01,876.8
2021-09-25 18:00:00,26.71,66.42,1017.22,1144.5
2021-09-25 18:30:00,26.38,66.84,1017.5,196.61
2021-09-25 19:00:00,26.37,66.11,1017.42,125.34
2021-09-25 19:30:00,26.51,65.53,1017.71,125.34
2021-09-25 20:00:00,26.3,64.23,1017.81,124.64
2021-09-25 20:30:00,25.78,68.45,1017.93,124.99
2021-09-25 21:00:00,26.02,68.12,1018.21,124.99
2021-09-25 21:30:00,25.67,69.28,1018.18,410.33
2021-09-25 22:00:00,25.25,70.42,1018.17,137.63
2021-09-25 22:30:00,25.31,70.49,1017.94,140.08
2021-09-25 23:00:00,25.33,69.93,1017.83,139.73
2021-09-25 23:30:00,24.82,71.4,1017.77,140.08
2021-09-26 00:00:00,24.69,70.69,1017.66,140.79
2021-09-26 00:30:00,24.73,70.32,1017.82,125.34
2021-09-26 01:00:00,25.14,67.96,1017.66,173.7
2021-09-26 01:30:00,24.64,69.51,1017.61,124.99
2021-09-26 02:00:00,24.22,70.53,1017.44,125.34
2021-09-26 02:30:00,24.21,70.59,1017.35,125.34
2021-09-26 03:00:00,24.04,71.5,1017.29,124.64
2021-09-26 03:30:00,24.02,72.49,1017.14,125.34
2021-09-26 04:00:00,23.97,72.09,1017.13,125.34
2021-09-26 04:30:00,23.81,72.74,1017.17,125.34
2021-09-26 05:00:00,23.38,74.09,1016.91,125.34
2021-09-26 05:30:00,23.55,73.59,1016.9,125.34
2021-09-26 06:00:00,23.36,74.26,1016.8,510.48
2021-09-26 06:30:00,23.51,73.91,1016.91,1067.95
2021-09-26 07:00:00,23.82,73.19,1017.16,1032.68
2021-09-26 07:30:00,25.93,66.22,1017.13,938.2
2021-09-26 08:00:00,26.2,65.27,1017.11,967.88
2021-09-26 08:30:00,28.94,61.31,1017.29,875.02
2021-09-26 09:00:00,28.62,59.35,1017.58,943.59
2021-09-26 09:30:00,28.33,61.44,1017.33,984.17
2021-09-26 10:00:00,29.25,59.49,1017.0,1139.02
2021-09-26 10:30:00,31.17,56.06,1016.7,944.1
